Student,Assignment,Activity,Scoring Guide,Nancy Stephenson Score,Angela Ross Score,Active Score
2610,3057,PSM_Pretest_2020_A(c),Pop.04.3_OE,,MAPc2,
2904,3369,PSM_Pretest_2020_C,Pop.04.3_OE,,MAPc2,
2906,3371,PSM_Pretest_2020_B,Pop.04.3_OE,,MAPc3,
2909,3374,PSM_Pretest_2020_A(c),Pop.04.3_OE,,MAPc0,
2912,3378,PSM_Pretest_2020_F,Pop.04.3_OE,,MAPc1,MAPc1
75,261,PSM_Pretest_2020_C,Pop.04.4_OE,,MAPc2,
76,262,PSM_Pretest_2020_B,Pop.04.4_OE,,MAPc2,
77,263,PSM_Pretest_2020_A(c),Pop.04.4_OE,,MAPc2,
78,264,PSM_Pretest_2020_F,Pop.04.4_OE,,MAPc2,
79,265,PSM_Pretest_2020_E(c),Pop.04.4_OE,,MAPc3,
80,266,PSM_Pretest_2020_D(c),Pop.04.4_OE,,MAPc3,
81,267,PSM_Pretest_2020_C,Pop.04.4_OE,,MAPc2,
82,268,PSM_Pretest_2020_B,Pop.04.4_OE,,MAPc0,MAPc0
83,269,PSM_Pretest_2020_A(c),Pop.04.4_OE,,MAPc3,
84,270,PSM_Pretest_2020_F,Pop.04.4_OE,,MAPc2,
85,271,PSM_Pretest_2020_E(c),Pop.04.4_OE,,MAPc3,
89,275,PSM_Pretest_2020_A(c),Pop.04.4_OE,,MAPc3,MAPc3
90,276,PSM_Pretest_2020_F,Pop.04.4_OE,,MAPc2,
92,278,PSM_Pretest_2020_D(c),Pop.04.4_OE,,MAPc2,
93,279,PSM_Pretest_2020_C,Pop.04.4_OE,,MAPc3,
94,280,PSM_Pretest_2020_B,Pop.04.4_OE,,MAPc3,
95,281,PSM_Pretest_2020_A(c),Pop.04.4_OE,,MAPc3,
97,283,PSM_Pretest_2020_E(c),Pop.04.4_OE,,MAPc3,
99,285,PSM_Pretest_2020_C,Pop.04.4_OE,,MAPc3,
100,286,PSM_Pretest_2020_B,Pop.04.4_OE,,MAPc3,
101,287,PSM_Pretest_2020_A(c),Pop.04.4_OE,,MAPc3,
103,289,PSM_Pretest_2020_E(c),Pop.04.4_OE,,MAPc3,MAPc2
104,290,PSM_Pretest_2020_D(c),Pop.04.4_OE,,MAPc3,
106,292,PSM_Pretest_2020_C,Pop.04.4_OE,,MAPc3,
108,294,PSM_Pretest_2020_B,Pop.04.4_OE,,MAPc2,MAPc2
109,295,PSM_Pretest_2020_A(c),Pop.04.4_OE,,MAPc3,
111,297,PSM_Pretest_2020_E(c),Pop.04.4_OE,,MAPc3,
112,298,PSM_Pretest_2020_D(c),Pop.04.4_OE,,MAPc3,
113,299,PSM_Pretest_2020_C,Pop.04.4_OE,,MAPc3,
114,300,PSM_Pretest_2020_B,Pop.04.4_OE,,MAPc3,
115,301,PSM_Pretest_2020_A(c),Pop.04.4_OE,,MAPc2,
117,303,PSM_Pretest_2020_E(c),Pop.04.4_OE,,MAPc2,
118,304,PSM_Pretest_2020_D(c),Pop.04.4_OE,,MAPc3,
119,305,PSM_Pretest_2020_C,Pop.04.4_OE,,MAPc0,
120,306,PSM_Pretest_2020_B,Pop.04.4_OE,,MAPc1,MAPc1
121,307,PSM_Pretest_2020_A(c),Pop.04.4_OE,,MAPc3,
124,310,PSM_Pretest_2020_D(c),Pop.04.4_OE,,MAPc2,
125,311,PSM_Pretest_2020_C,Pop.04.4_OE,,MAPc3,
126,312,PSM_Pretest_2020_B,Pop.04.4_OE,,MAPc1,
131,317,PSM_Pretest_2020_A(c),Pop.04.4_OE,,MAPc2,MAPc1
135,321,PSM_Pretest_2020_C,Pop.04.4_OE,,MAPc3,
136,322,PSM_Pretest_2020_B,Pop.04.4_OE,,MAPc3,
137,323,PSM_Pretest_2020_A(c),Pop.04.4_OE,,MAPc3,
138,324,PSM_Pretest_2020_F,Pop.04.4_OE,,MAPc3,MAPc3
141,327,PSM_Pretest_2020_C,Pop.04.4_OE,,MAPc2,MAPc2
142,328,PSM_Pretest_2020_B,Pop.04.4_OE,,MAPc2,
143,329,PSM_Pretest_2020_A(c),Pop.04.4_OE,,MAPc3,
144,330,PSM_Pretest_2020_F,Pop.04.4_OE,,MAPc1,MAPc1
147,333,PSM_Pretest_2020_C,Pop.04.4_OE,,MAPc3,
148,334,PSM_Pretest_2020_B,Pop.04.4_OE,,MAPc3,
149,335,PSM_Pretest_2020_A(c),Pop.04.4_OE,,MAPc3,
150,336,PSM_Pretest_2020_F,Pop.04.4_OE,,MAPc3,MAPc3
153,339,PSM_Pretest_2020_C,Pop.04.4_OE,,MAPc3,
156,342,PSM_Pretest_2020_B,Pop.04.4_OE,,MAPc3,MAPc3
157,343,PSM_Pretest_2020_A(c),Pop.04.4_OE,,MAPc3,
161,347,PSM_Pretest_2020_C,Pop.04.4_OE,,MAPc3,
162,348,PSM_Pretest_2020_B,Pop.04.4_OE,,MAPc3,
163,349,PSM_Pretest_2020_A(c),Pop.04.4_OE,,MAPc3,
164,350,PSM_Pretest_2020_F,Pop.04.4_OE,,MAPc2,MAPc2
167,353,PSM_Pretest_2020_C,Pop.04.4_OE,,MAPc3,
168,354,PSM_Pretest_2020_B,Pop.04.4_OE,,MAPc2,
169,355,PSM_Pretest_2020_A(c),Pop.04.4_OE,,MAPc1,MAPc0
170,356,PSM_Pretest_2020_F,Pop.04.4_OE,,MAPc1,MAPc1
173,359,PSM_Pretest_2020_C,Pop.04.4_OE,,MAPc2,
174,360,PSM_Pretest_2020_B,Pop.04.4_OE,,MAPc3,
175,361,PSM_Pretest_2020_A(c),Pop.04.4_OE,,MAPc3,
182,368,PSM_Pretest_2020_C,Pop.04.4_OE,,MAPc3,
184,370,PSM_Pretest_2020_A(c),Pop.04.4_OE,,MAPc3,
188,374,PSM_Pretest_2020_C,Pop.04.4_OE,,MAPc2,
190,376,PSM_Pretest_2020_A(c),Pop.04.4_OE,,MAPc3,
194,380,PSM_Pretest_2020_C,Pop.04.4_OE,,MAPc3,
196,382,PSM_Pretest_2020_A(c),Pop.04.4_OE,,MAPc3,
201,387,PSM_Pretest_2020_C,Pop.04.4_OE,,MAPc3,
202,388,PSM_Pretest_2020_B,Pop.04.4_OE,,MAPc3,
205,391,PSM_Pretest_2020_A(c),Pop.04.4_OE,,MAPc2,MAPc2
210,396,PSM_Pretest_2020_C,Pop.04.4_OE,,MAPc3,
211,397,PSM_Pretest_2020_B,Pop.04.4_OE,,MAPc3,
213,399,PSM_Pretest_2020_A(c),Pop.04.4_OE,,MAPc3,
217,403,PSM_Pretest_2020_C,Pop.04.4_OE,,MAPc2,MAPc2
218,404,PSM_Pretest_2020_B,Pop.04.4_OE,,MAPc3,
219,405,PSM_Pretest_2020_A(c),Pop.04.4_OE,,MAPc3,
223,409,PSM_Pretest_2020_C,Pop.04.4_OE,,MAPc0,MAPc0
224,410,PSM_Pretest_2020_B,Pop.04.4_OE,,MAPc3,
225,411,PSM_Pretest_2020_A(c),Pop.04.4_OE,,MAPc3,
226,412,PSM_Pretest_2020_F,Pop.04.4_OE,,MAPc3,MAPc1
229,415,PSM_Pretest_2020_C,Pop.04.4_OE,,MAPc2,
230,416,PSM_Pretest_2020_B,Pop.04.4_OE,,MAPc3,
231,417,PSM_Pretest_2020_A(c),Pop.04.4_OE,,MAPc3,
241,428,PSM_Pretest_2020_C,Pop.04.4_OE,,MAPc3,
242,429,PSM_Pretest_2020_B,Pop.04.4_OE,,MAPc3,MAPc3
243,430,PSM_Pretest_2020_A(c),Pop.04.4_OE,,MAPc3,MAPc3
249,436,PSM_Pretest_2020_C,Pop.04.4_OE,,MAPc3,
250,437,PSM_Pretest_2020_B,Pop.04.4_OE,,MAPc3,
251,438,PSM_Pretest_2020_A(c),Pop.04.4_OE,,MAPc3,
259,446,PSM_Pretest_2020_C,Pop.04.4_OE,,MAPc2,
260,447,PSM_Pretest_2020_B,Pop.04.4_OE,,MAPc3,
261,448,PSM_Pretest_2020_A(c),Pop.04.4_OE,,MAPc3,
266,453,PSM_Pretest_2020_C,Pop.04.4_OE,,MAPc2,
267,454,PSM_Pretest_2020_B,Pop.04.4_OE,,MAPc3,MAPc2
268,455,PSM_Pretest_2020_A(c),Pop.04.4_OE,,MAPc3,
296,484,PSM_Pretest_2020_C,Pop.04.4_OE,,MAPc3,
298,486,PSM_Pretest_2020_B,Pop.04.4_OE,,MAPc3,
407,601,PSM_Pretest_2020_A(c),Pop.04.4_OE,,MAPc3,MAPc3
418,616,PSM_Pretest_2020_E(c),Pop.04.4_OE,,MAPc1,MAPc0
422,621,PSM_Pretest_2020_C,Pop.04.4_OE,,MAPc3,
429,634,PSM_Pretest_2020_A(c),Pop.04.4_OE,,MAPc2,MAPc3
526,748,PSM_Pretest_2020_F,Pop.04.4_OE,,MAPc0,MAPc0
528,750,PSM_Pretest_2020_D(c),Pop.04.4_OE,,MAPc3,
529,751,PSM_Pretest_2020_C,Pop.04.4_OE,,MAPc3,
531,753,PSM_Pretest_2020_A(c),Pop.04.4_OE,,MAPc1,
563,789,PSM_Pretest_2020_C,Pop.04.4_OE,,MAPc3,
564,790,PSM_Pretest_2020_B,Pop.04.4_OE,,MAPc3,
572,798,PSM_Pretest_2020_A(c),Pop.04.4_OE,,MAPc3,
574,800,PSM_Pretest_2020_E(c),Pop.04.4_OE,,MAPc2,MAPc1
575,801,PSM_Pretest_2020_D(c),Pop.04.4_OE,,MAPc3,
601,827,PSM_Pretest_2020_C,Pop.04.4_OE,,MAPc3,
602,828,PSM_Pretest_2020_B,Pop.04.4_OE,,MAPc3,
603,829,PSM_Pretest_2020_A(c),Pop.04.4_OE,,MAPc2,MAPc3
637,865,PSM_Pretest_2020_C,Pop.04.4_OE,,MAPc1,MAPc0
638,866,PSM_Pretest_2020_B,Pop.04.4_OE,,MAPc0,MAPc0
640,868,PSM_Pretest_2020_A(c),Pop.04.4_OE,,MAPc1,MAPc1
706,943,PSM_Pretest_2020_C,Pop.04.4_OE,,MAPc3,MAPc3
721,963,PSM_Pretest_2020_B,Pop.04.4_OE,,MAPc3,
722,964,PSM_Pretest_2020_A(c),Pop.04.4_OE,,MAPc3,
729,971,PSM_Pretest_2020_C,Pop.04.4_OE,,MAPc3,
731,973,PSM_Pretest_2020_B,Pop.04.4_OE,,MAPc3,
732,974,PSM_Pretest_2020_A(c),Pop.04.4_OE,,MAPc3,
739,982,PSM_Pretest_2020_C,Pop.04.4_OE,,MAPc1,
740,983,PSM_Pretest_2020_B,Pop.04.4_OE,,MAPc3,
741,984,PSM_Pretest_2020_A(c),Pop.04.4_OE,,MAPc3,
746,989,PSM_Pretest_2020_C,Pop.04.4_OE,,MAPc3,MAPc2
747,990,PSM_Pretest_2020_B,Pop.04.4_OE,,MAPc2,MAPc2
748,991,PSM_Pretest_2020_A(c),Pop.04.4_OE,,MAPc3,
751,994,PSM_Pretest_2020_E(c),Pop.04.4_OE,,MAPc2,MAPc2
753,996,PSM_Pretest_2020_C,Pop.04.4_OE,,MAPc1,
754,997,PSM_Pretest_2020_B,Pop.04.4_OE,,MAPc2,MAPc2
553,1016,PSM_Pretest_2020_A(c),Pop.04.4_OE,,MAPc1,MAPc0
802,1049,PSM_Pretest_2020_C,Pop.04.4_OE,,MAPc2,MAPc1
804,1051,PSM_Pretest_2020_B,Pop.04.4_OE,,MAPc3,
806,1053,PSM_Pretest_2020_A(c),Pop.04.4_OE,,MAPc3,
820,1068,PSM_Pretest_2020_F,Pop.04.4_OE,,MAPc1,MAPc0
825,1073,PSM_Pretest_2020_C,Pop.04.4_OE,,MAPc3,
827,1075,PSM_Pretest_2020_B,Pop.04.4_OE,,MAPc2,
828,1076,PSM_Pretest_2020_A(c),Pop.04.4_OE,,MAPc3,
832,1080,PSM_Pretest_2020_E(c),Pop.04.4_OE,,MAPc3,MAPc1
835,1083,PSM_Pretest_2020_C,Pop.04.4_OE,,MAPc2,
836,1084,PSM_Pretest_2020_B,Pop.04.4_OE,,MAPc3,
837,1085,PSM_Pretest_2020_A(c),Pop.04.4_OE,,MAPc3,
838,1086,PSM_Pretest_2020_F,Pop.04.4_OE,,MAPc3,MAPc2
841,1089,PSM_Pretest_2020_C,Pop.04.4_OE,,MAPc3,
842,1090,PSM_Pretest_2020_B,Pop.04.4_OE,,MAPc2,
850,1098,PSM_Pretest_2020_C,Pop.04.4_OE,,MAPc3,
851,1099,PSM_Pretest_2020_B,Pop.04.4_OE,,MAPc3,
852,1100,PSM_Pretest_2020_A(c),Pop.04.4_OE,,MAPc2,
856,1104,PSM_Pretest_2020_C,Pop.04.4_OE,,MAPc2,
892,1141,PSM_Pretest_2020_A(c),Pop.04.4_OE,,MAPc3,
924,1176,PSM_Pretest_2020_C,Pop.04.4_OE,,MAPc3,
935,1189,PSM_Pretest_2020_B,Pop.04.4_OE,,MAPc3,
937,1191,PSM_Pretest_2020_A(c),Pop.04.4_OE,,MAPc3,
957,1213,PSM_Pretest_2020_F,Pop.04.4_OE,,MAPc3,
1026,1285,PSM_Pretest_2020_B,Pop.04.4_OE,,MAPc3,
1057,1320,PSM_Pretest_2020_A(c),Pop.04.4_OE,,MAPc3,
1092,1359,PSM_Pretest_2020_C,Pop.04.4_OE,,MAPc3,
1099,1366,PSM_Pretest_2020_B,Pop.04.4_OE,,MAPc0,MAPc0
1106,1373,PSM_Pretest_2020_A(c),Pop.04.4_OE,,MAPc3,
1108,1375,PSM_Pretest_2020_E(c),Pop.04.4_OE,,MAPc3,MAPc3
1110,1377,PSM_Pretest_2020_C,Pop.04.4_OE,,MAPc3,MAPc3
1111,1378,PSM_Pretest_2020_B,Pop.04.4_OE,,MAPc2,
1112,1379,PSM_Pretest_2020_A(c),Pop.04.4_OE,,MAPc3,
1116,1383,PSM_Pretest_2020_C,Pop.04.4_OE,,MAPc1,MAPc1
1117,1384,PSM_Pretest_2020_B,Pop.04.4_OE,,MAPc1,
1118,1385,PSM_Pretest_2020_A(c),Pop.04.4_OE,,MAPc3,
1166,1430,PSM_Pretest_2020_C,Pop.04.4_OE,,MAPc2,MAPc2
1170,1434,PSM_Pretest_2020_B,Pop.04.4_OE,,MAPc2,
1171,1435,PSM_Pretest_2020_A(c),Pop.04.4_OE,,MAPc3,
1177,1448,PSM_Pretest_2020_A(c),Pop.04.4_OE,,MAPc3,
1188,1455,PSM_Pretest_2020_C,Pop.04.4_OE,,MAPc2,
1201,1522,PSM_Pretest_2020_B,Pop.04.4_OE,,MAPc3,
1203,1524,PSM_Pretest_2020_A(c),Pop.04.4_OE,,MAPc3,
1212,1533,PSM_Pretest_2020_C,Pop.04.4_OE,,MAPc3,
1213,1534,PSM_Pretest_2020_B,Pop.04.4_OE,,MAPc3,
1214,1535,PSM_Pretest_2020_A(c),Pop.04.4_OE,,MAPc3,
1218,1539,PSM_Pretest_2020_C,Pop.04.4_OE,,MAPc2,MAPc2
1219,1540,PSM_Pretest_2020_B,Pop.04.4_OE,,MAPc2,
1220,1541,PSM_Pretest_2020_A(c),Pop.04.4_OE,,MAPc3,
1227,1550,PSM_Pretest_2020_C,Pop.04.4_OE,,MAPc3,
1229,1552,PSM_Pretest_2020_B,Pop.04.4_OE,,MAPc3,
1230,1553,PSM_Pretest_2020_A(c),Pop.04.4_OE,,MAPc3,
1234,1557,PSM_Pretest_2020_E(c),Pop.04.4_OE,,MAPc3,
1237,1560,PSM_Pretest_2020_C,Pop.04.4_OE,,MAPc1,MAPc0
1238,1561,PSM_Pretest_2020_B,Pop.04.4_OE,,MAPc3,
1239,1562,PSM_Pretest_2020_A(c),Pop.04.4_OE,,MAPc3,
1271,1597,PSM_Pretest_2020_B,Pop.04.4_OE,,MAPc3,
1248,1601,PSM_Pretest_2020_A(c),Pop.04.4_OE,,MAPc3,
1279,1606,PSM_Pretest_2020_C,Pop.04.4_OE,,MAPc3,
1280,1607,PSM_Pretest_2020_B,Pop.04.4_OE,,MAPc3,
1281,1608,PSM_Pretest_2020_A(c),Pop.04.4_OE,,MAPc2,MAPc3
1288,1616,PSM_Pretest_2020_C,Pop.04.4_OE,,MAPc3,
1231,1617,PSM_Pretest_2020_B,Pop.04.4_OE,,MAPc0,
511,1618,PSM_Pretest_2020_A(c),Pop.04.4_OE,,MAPc3,
1294,1624,PSM_Pretest_2020_C,Pop.04.4_OE,,MAPc3,
1296,1626,PSM_Pretest_2020_B,Pop.04.4_OE,,MAPc3,
1038,1627,PSM_Pretest_2020_A(c),Pop.04.4_OE,,MAPc3,
1300,1631,PSM_Pretest_2020_E(c),Pop.04.4_OE,,MAPc2,MAPc1
1337,1669,PSM_Pretest_2020_C,Pop.04.4_OE,,MAPc3,
1366,1698,PSM_Pretest_2020_B,Pop.04.4_OE,,MAPc0,
1368,1700,PSM_Pretest_2020_A(c),Pop.04.4_OE,,MAPc3,
1372,1704,PSM_Pretest_2020_F,Pop.04.4_OE,,MAPc0,MAPc0
1377,1709,PSM_Pretest_2020_C,Pop.04.4_OE,,MAPc3,
1415,1750,PSM_Pretest_2020_B,Pop.04.4_OE,,MAPc3,
1423,1758,PSM_Pretest_2020_A(c),Pop.04.4_OE,,MAPc3,
1240,1790,PSM_Pretest_2020_C,Pop.04.4_OE,,MAPc3,
513,1791,PSM_Pretest_2020_B,Pop.04.4_OE,,MAPc3,
1451,1792,PSM_Pretest_2020_A(c),Pop.04.4_OE,,MAPc3,
512,1797,PSM_Pretest_2020_C,Pop.04.4_OE,,MAPc3,
1455,1798,PSM_Pretest_2020_B,Pop.04.4_OE,,MAPc2,
1456,1799,PSM_Pretest_2020_A(c),Pop.04.4_OE,,MAPc3,
1479,1827,PSM_Pretest_2020_C,Pop.04.4_OE,,MAPc3,
1492,1841,PSM_Pretest_2020_B,Pop.04.4_OE,,MAPc3,
1535,1886,PSM_Pretest_2020_A(c),Pop.04.4_OE,,MAPc3,
1553,1907,PSM_Pretest_2020_B,Pop.04.4_OE,,MAPc3,
1554,1908,PSM_Pretest_2020_A(c),Pop.04.4_OE,,MAPc2,
1558,1912,PSM_Pretest_2020_C,Pop.04.4_OE,,MAPc3,
1559,1913,PSM_Pretest_2020_B,Pop.04.4_OE,,MAPc3,
1560,1914,PSM_Pretest_2020_A(c),Pop.04.4_OE,,MAPc0,
1565,1919,PSM_Pretest_2020_C,Pop.04.4_OE,,MAPc2,
1566,1920,PSM_Pretest_2020_B,Pop.04.4_OE,,MAPc2,
1567,1921,PSM_Pretest_2020_A(c),Pop.04.4_OE,,MAPc3,
1043,1925,PSM_Pretest_2020_C,Pop.04.4_OE,,MAPc2,
1572,1928,PSM_Pretest_2020_B,Pop.04.4_OE,,MAPc3,
1622,1977,PSM_Pretest_2020_A(c),Pop.04.4_OE,,MAPc3,
1658,2015,PSM_Pretest_2020_B,Pop.04.4_OE,,MAPc0,
1776,2158,PSM_Pretest_2020_C,Pop.04.4_OE,,MAPc3,
1786,2173,PSM_Pretest_2020_B,Pop.04.4_OE,,MAPc3,
1791,2178,PSM_Pretest_2020_A(c),Pop.04.4_OE,,MAPc3,
1830,2224,PSM_Pretest_2020_B,Pop.04.4_OE,,MAPc2,
1893,2292,PSM_Pretest_2020_E(c),Pop.04.4_OE,,MAPc3,MAPc3
1902,2302,PSM_Pretest_2020_B,Pop.04.4_OE,,MAPc3,
1938,2343,PSM_Pretest_2020_A(c),Pop.04.4_OE,,MAPc3,
2081,2497,PSM_Pretest_2020_C,Pop.04.4_OE,,MAPc3,
2119,2538,PSM_Pretest_2020_B,Pop.04.4_OE,,MAPc2,
2126,2546,PSM_Pretest_2020_A(c),Pop.04.4_OE,,MAPc2,
2162,2586,PSM_Pretest_2020_E(c),Pop.04.4_OE,,MAPc0,MAPc0
2284,2721,PSM_Pretest_2020_C,Pop.04.4_OE,,MAPc2,
2290,2727,PSM_Pretest_2020_B,Pop.04.4_OE,,MAPc3,
2296,2733,PSM_Pretest_2020_A(c),Pop.04.4_OE,,MAPc3,
2438,2880,PSM_Pretest_2020_C,Pop.04.4_OE,,MAPc2,
2444,2887,PSM_Pretest_2020_B,Pop.04.4_OE,,MAPc3,
2447,2890,PSM_Pretest_2020_A(c),Pop.04.4_OE,,MAPc3,
2607,3054,PSM_Pretest_2020_B,Pop.04.4_OE,,MAPc3,
2610,3057,PSM_Pretest_2020_A(c),Pop.04.4_OE,,MAPc1,MAPc2
2904,3369,PSM_Pretest_2020_C,Pop.04.4_OE,,MAPc3,
2906,3371,PSM_Pretest_2020_B,Pop.04.4_OE,,MAPc0,MAPc1
2909,3374,PSM_Pretest_2020_A(c),Pop.04.4_OE,,MAPc0,
2913,3379,PSM_Pretest_2020_E(c),Pop.04.4_OE,,MAPc3,MAPc3
77,263,PSM_Pretest_2020_A(c),Pop.07ab_OE,IMR1,IMR1,IMR1
81,267,PSM_Pretest_2020_C,Pop.07ab_OE,IMR1,IMR1,IMR1
82,268,PSM_Pretest_2020_B,Pop.07ab_OE,IMR1,IMR2,IMR2
85,271,PSM_Pretest_2020_E(c),Pop.07ab_OE,,,IMR2
89,275,PSM_Pretest_2020_A(c),Pop.07ab_OE,IMR2,IMR2,IMR2
91,277,PSM_Pretest_2020_E(c),Pop.07ab_OE,,,IMR3
92,278,PSM_Pretest_2020_D(c),Pop.07ab_OE,IMR2,IMR2,IMR1
95,281,PSM_Pretest_2020_A(c),Pop.07ab_OE,IMR0,IMR0,IMR0
97,283,PSM_Pretest_2020_E(c),Pop.07ab_OE,,,IMR2
99,285,PSM_Pretest_2020_C,Pop.07ab_OE,IMR3,IMR3,IMR3
100,286,PSM_Pretest_2020_B,Pop.07ab_OE,IMR1,IMR1,IMR1
101,287,PSM_Pretest_2020_A(c),Pop.07ab_OE,IMR1,IMR1,IMR1
102,288,PSM_Pretest_2020_F,Pop.07ab_OE,,,IMR1
104,290,PSM_Pretest_2020_D(c),Pop.07ab_OE,IMR0,IMR1,IMR0
113,299,PSM_Pretest_2020_C,Pop.07ab_OE,IMR2,IMR0,IMR2
119,305,PSM_Pretest_2020_C,Pop.07ab_OE,IMR1,IMR1,IMR1
120,306,PSM_Pretest_2020_B,Pop.07ab_OE,IMR3,IMR2,IMR3
131,317,PSM_Pretest_2020_A(c),Pop.07ab_OE,IMR3,IMR2,IMR3
132,318,PSM_Pretest_2020_F,Pop.07ab_OE,,,IMR2
138,324,PSM_Pretest_2020_F,Pop.07ab_OE,,,IMR1
139,325,PSM_Pretest_2020_E(c),Pop.07ab_OE,,,IMR3
143,329,PSM_Pretest_2020_A(c),Pop.07ab_OE,IMR3,IMR3,IMR3
147,333,PSM_Pretest_2020_C,Pop.07ab_OE,IMR3,IMR2,IMR2
148,334,PSM_Pretest_2020_B,Pop.07ab_OE,IMR0,IMR1,IMR1
150,336,PSM_Pretest_2020_F,Pop.07ab_OE,,,IMR3
153,339,PSM_Pretest_2020_C,Pop.07ab_OE,IMR0,IMR0,IMR0
163,349,PSM_Pretest_2020_A(c),Pop.07ab_OE,IMR3,IMR3,IMR3
166,352,PSM_Pretest_2020_D(c),Pop.07ab_OE,IMR3,IMR2,IMR2
168,354,PSM_Pretest_2020_B,Pop.07ab_OE,IMR3,IMR2,IMR2
169,355,PSM_Pretest_2020_A(c),Pop.07ab_OE,IMR3,IMR2,IMR2
176,362,PSM_Pretest_2020_F,Pop.07ab_OE,,,IMR0
185,371,PSM_Pretest_2020_F,Pop.07ab_OE,,,IMR1
200,386,PSM_Pretest_2020_D(c),Pop.07ab_OE,IMR1,IMR1,IMR1
228,414,PSM_Pretest_2020_D(c),Pop.07ab_OE,IMR3,IMR2,IMR2
229,415,PSM_Pretest_2020_C,Pop.07ab_OE,IMR0,IMR1,IMR0
253,440,PSM_Pretest_2020_F,Pop.07ab_OE,,,IMR3
257,444,PSM_Pretest_2020_E(c),Pop.07ab_OE,,,IMR1
271,458,PSM_Pretest_2020_D(c),Pop.07ab_OE,IMR3,IMR2,IMR2
529,751,PSM_Pretest_2020_C,Pop.07ab_OE,IMR0,IMR0,IMR0
641,869,PSM_Pretest_2020_F,Pop.07ab_OE,,,IMR0
724,966,PSM_Pretest_2020_F,Pop.07ab_OE,,,IMR1
735,977,PSM_Pretest_2020_E(c),Pop.07ab_OE,,,IMR1
827,1075,PSM_Pretest_2020_B,Pop.07ab_OE,,,IMR1
836,1084,PSM_Pretest_2020_B,Pop.07ab_OE,IMR1,IMR1,IMR1
842,1090,PSM_Pretest_2020_B,Pop.07ab_OE,IMR0,IMR1,IMR1
850,1098,PSM_Pretest_2020_C,Pop.07ab_OE,IMR2,IMR1,IMR1
855,1103,PSM_Pretest_2020_D(c),Pop.07ab_OE,IMR0,IMR1,IMR1
1114,1381,PSM_Pretest_2020_E(c),Pop.07ab_OE,,,IMR0
1219,1540,PSM_Pretest_2020_B,Pop.07ab_OE,IMR1,IMR1,IMR2
1454,1795,PSM_Pretest_2020_E(c),Pop.07ab_OE,,,IMR1
1564,1918,PSM_Pretest_2020_D(c),Pop.07ab_OE,IMR0,IMR1,IMR0
1567,1921,PSM_Pretest_2020_A(c),Pop.07ab_OE,IMR0,IMR0,IMR0
1649,2004,PSM_Pretest_2020_F,Pop.07ab_OE,,,IMR2
1671,2030,PSM_Pretest_2020_D(c),Pop.07ab_OE,IMR0,IMR1,IMR0
1893,2292,PSM_Pretest_2020_E(c),Pop.07ab_OE,,,IMR0
1902,2302,PSM_Pretest_2020_B,Pop.07ab_OE,IMR1,IMR1,IMR0
2162,2586,PSM_Pretest_2020_E(c),Pop.07ab_OE,,,IMR1
2903,3368,PSM_Pretest_2020_D(c),Pop.07ab_OE,IMR3,IMR3,IMR3
2909,3374,PSM_Pretest_2020_A(c),Pop.07ab_OE,IMR1,IMR1,IMR1
2936,3405,PSM_Pretest_2020_C,Pop.07ab_OE,IMR3,IMR1,IMR1